b'id',b'key',b'value',b'type'
231289578,b'highway',b'turning_circle',b'regular'
231289664,b'highway',b'turning_circle',b'regular'
231289698,b'junction',b'yes',b'regular'
231289731,b'noexit',b'yes',b'regular'
231289750,b'highway',b'turning_circle',b'regular'
231289767,b'highway',b'turning_circle',b'regular'
231290673,b'highway',b'stop',b'regular'
231290673,b'stop',b'all',b'regular'
231290849,b'highway',b'turning_circle',b'regular'
231290924,b'highway',b'turning_circle',b'regular'
231291509,b'highway',b'turning_circle',b'regular'
231291531,b'highway',b'turning_circle',b'regular'
231291569,b'highway',b'turning_circle',b'regular'
231291811,b'highway',b'turning_circle',b'regular'
231292505,b'railway',b'switch',b'regular'
231293134,b'highway',b'turning_circle',b'regular'
231293452,b'highway',b'turning_circle',b'regular'
231293842,b'noexit',b'yes',b'regular'
231294018,b'highway',b'turning_circle',b'regular'
231294018,b'source',b'Bing',b'regular'
231294166,b'highway',b'traffic_signals',b'regular'
231294218,b'highway',b'traffic_signals',b'regular'
231294218,b'traffic_signals',b'signal',b'regular'
231294218,b'direction',b'both',b'traffic_signals'
231295921,b'highway',b'traffic_signals',b'regular'
231296204,b'highway',b'turning_circle',b'regular'
231296388,b'highway',b'turning_circle',b'regular'
231296633,b'highway',b'turning_circle',b'regular'
231296735,b'highway',b'turning_circle',b'regular'
231297229,b'highway',b'turning_circle',b'regular'
231297713,b'railway',b'switch',b'regular'
231297945,b'highway',b'traffic_signals',b'regular'
231298080,b'highway',b'turning_circle',b'regular'
231298535,b'highway',b'traffic_signals',b'regular'
231298535,b'direction',b'both',b'traffic_signals'
231298578,b'highway',b'traffic_signals',b'regular'
231298631,b'highway',b'traffic_signals',b'regular'
231298836,b'highway',b'turning_circle',b'regular'
231298842,b'highway',b'turning_circle',b'regular'
231298847,b'highway',b'turning_circle',b'regular'
231298924,b'highway',b'turning_circle',b'regular'
231299117,b'highway',b'turning_circle',b'regular'
231299267,b'highway',b'turning_circle',b'regular'
231299401,b'highway',b'turning_circle',b'regular'
231299483,b'highway',b'turning_circle',b'regular'
231301036,b'highway',b'turning_circle',b'regular'
231302153,b'highway',b'turning_circle',b'regular'
231302287,b'highway',b'turning_circle',b'regular'
231302304,b'highway',b'turning_circle',b'regular'
231302315,b'highway',b'turning_circle',b'regular'
231302539,b'highway',b'turning_circle',b'regular'
231302682,b'highway',b'turning_circle',b'regular'
231302777,b'highway',b'traffic_signals',b'regular'
231302962,b'highway',b'turning_circle',b'regular'
231302991,b'highway',b'turning_circle',b'regular'
231303173,b'barrier',b'gate',b'regular'
231303408,b'highway',b'turning_circle',b'regular'
231303552,b'highway',b'turning_circle',b'regular'
231303552,b'source',b'Bing',b'regular'
231303867,b'highway',b'turning_circle',b'regular'
231304163,b'highway',b'turning_circle',b'regular'
231304258,b'highway',b'stop',b'regular'
231304258,b'stop',b'all',b'regular'
231304327,b'highway',b'turning_circle',b'regular'
231304560,b'highway',b'turning_circle',b'regular'
231304839,b'highway',b'turning_circle',b'regular'
231305046,b'highway',b'turning_circle',b'regular'
231305616,b'highway',b'turning_circle',b'regular'
231305870,b'highway',b'turning_circle',b'regular'
231306094,b'highway',b'turning_circle',b'regular'
231306329,b'noexit',b'yes',b'regular'
231306360,b'highway',b'turning_circle',b'regular'
231306372,b'highway',b'turning_circle',b'regular'
231306480,b'highway',b'turning_circle',b'regular'
231306670,b'highway',b'turning_circle',b'regular'
231306724,b'highway',b'turning_circle',b'regular'
231306741,b'highway',b'turning_circle',b'regular'
231306762,b'highway',b'turning_circle',b'regular'
231306762,b'source',b'Bing',b'regular'
231306772,b'highway',b'turning_circle',b'regular'
231306908,b'highway',b'turning_circle',b'regular'
231306927,b'highway',b'turning_circle',b'regular'
231307589,b'noexit',b'yes',b'regular'
231307734,b'highway',b'traffic_signals',b'regular'
231307797,b'highway',b'stop',b'regular'
231307797,b'stop',b'all',b'regular'
231307816,b'highway',b'stop',b'regular'
231307816,b'stop',b'all',b'regular'
231308153,b'highway',b'turning_circle',b'regular'
231308173,b'highway',b'turning_circle',b'regular'
231308380,b'highway',b'turning_circle',b'regular'
231308612,b'highway',b'turning_circle',b'regular'
231309004,b'highway',b'turning_loop',b'regular'
231309017,b'highway',b'turning_loop',b'regular'
231309128,b'highway',b'turning_circle',b'regular'
231309243,b'highway',b'turning_circle',b'regular'
231309401,b'highway',b'turning_circle',b'regular'
231309426,b'highway',b'turning_circle',b'regular'
231309796,b'highway',b'crossing',b'regular'
231309803,b'highway',b'crossing',b'regular'
231310036,b'highway',b'turning_circle',b'regular'
231310227,b'highway',b'turning_circle',b'regular'
231310247,b'highway',b'turning_circle',b'regular'
231310663,b'highway',b'turning_circle',b'regular'
231310663,b'source',b'Bing',b'regular'
231310704,b'highway',b'turning_circle',b'regular'
231311092,b'highway',b'turning_circle',b'regular'
231311216,b'highway',b'turning_circle',b'regular'
231311226,b'highway',b'turning_circle',b'regular'
231312087,b'highway',b'turning_circle',b'regular'
231312159,b'highway',b'turning_circle',b'regular'
231312265,b'highway',b'traffic_signals',b'regular'
231312563,b'highway',b'turning_circle',b'regular'
231312567,b'highway',b'turning_circle',b'regular'
231312702,b'highway',b'turning_circle',b'regular'
231313459,b'highway',b'traffic_signals',b'regular'
231313542,b'highway',b'traffic_signals',b'regular'
231313542,b'traffic_signals',b'signal',b'regular'
231313542,b'direction',b'both',b'traffic_signals'
231313641,b'highway',b'traffic_signals',b'regular'
231313655,b'railway',b'level_crossing',b'regular'
231314418,b'highway',b'turning_circle',b'regular'
231314507,b'highway',b'turning_circle',b'regular'
231314535,b'highway',b'turning_circle',b'regular'
231314647,b'highway',b'turning_circle',b'regular'
231314770,b'highway',b'turning_circle',b'regular'
231315294,b'highway',b'turning_circle',b'regular'
